fold,attack,sage_auroc,sage_auprc,mlp_auprc,atk_mean_auprc
0,CA_CHAR_01_CharacterSwapping,0.47817101524153965,0.01397967493445115,0.0303691655321959,0.0125
1,CA_CHAR_02_CharacterRepetition,0.5618206521739131,0.07062409702694084,0.029839864927736333,0.014285714285714285
2,CA_CHAR_03_CharacterInsertion,0.46088688011631207,0.023296316325648676,0.04711925116973188,0.025892857142857145
3,CA_CHAR_04_CharacterDeletion,0.42278740875912413,0.017786331247986918,0.037104912179275557,0.02142857142857143
4,CA_CHAR_05_HomoglyphPerturbation,0.4690411196325664,0.0169195441366292,0.07470529800394972,0.01875
5,CA_WORD_02_EntityDisambiguation,0.5,0.0,0.0,0.0
6,CA_WORD_03_Jumbling,0.4976739409499358,0.07864293267996009,0.08542727494919183,0.08482142857142858
7,CA_WORD_04_Typos,0.39621893702191746,0.016275782223966168,0.0199119846013915,0.020535714285714286
8,CA_WORD_08_LexicalSubstitution,0.367420814479638,0.010334626449942631,0.017930367037843172,0.013392857142857142
9,CA_WORD_12_Synonyms,0.25718132854578096,0.003936213501918988,0.007001849319166434,0.005357142857142857
10,CA_WORD_13_PhoneticPerturbation,0.3876858358430135,0.013747811874186895,0.02490463858925719,0.016964285714285713
11,CA_03_LexicallyInformed,0.445044504450445,0.011390294654403282,0.0072264412893329796,0.008035714285714285
12,EA_IMP_01_ImperceptibleVerification,0.4007758877946881,0.006393099701340348,0.029929001061041603,0.0026785714285714286
13,EA_OMITOMISSION_01_OmissionGeneration,0.8061960050624553,0.1569135351877895,0.08842658892824773,0.045535714285714284
14,CA_06_FactMixing,0.5496370479903212,0.3527062855799449,0.3568386589237186,0.30892857142857144
15,CA_07_AdvTrigger,0.42047481273037135,0.017670093149249548,0.06809756456075913,0.020535714285714286
16,CA_16_Colloquial,0.45138925923950723,0.013649210256091601,0.08110797431278047,0.015178571428571428
17,EA_ADVADD_01_AdvAdd,0.7274545258177688,0.6072986729273296,0.5536863601084608,0.35446428571428573
18,EA_CLAIMREWRITE_01_ClaimRewrite,0.33055668945810796,0.10444507691745793,0.09896729654752699,0.14642857142857144
19,EA_CTXREP_01_ContextualizedReplace,0.7333638583638584,0.5317615101574891,0.5201932857767895,0.325
20,EA_FACT2FICT_01_Fact2Fiction,0.7711311215597109,0.5885589344094873,0.48345231846989,0.3044642857142857
21,EA_IMPRET_01_ImperceptibleRetrieval,0.2254025044722719,0.0016956263796172079,0.0018452804526498984,0.0017857142857142857
